feature_set,seq_length,threshold,accuracy,f1,roc_auc,signals_up
btc_only,14,0.55,0.5123287671232877,0.43312101910828027,0.5078664504894014,132
btc_plus_small_pm,14,0.65,0.5095890410958904,0.0427807486631016,0.48642887167477333,5
btc_only,7,0.55,0.5095890410958904,0.3848797250859107,0.4736083588542605,109
btc_only,14,0.65,0.5068493150684932,0.03225806451612903,0.5078664504894014,4
btc_plus_small_pm,14,0.5,0.5041095890410959,0.559610705596107,0.48642887167477333,229
btc_plus_full_pm,5,0.65,0.5041095890410959,0.01092896174863388,0.4537020356692487,1
btc_only,10,0.55,0.5013698630136987,0.510752688172043,0.47649072239236173,190
btc_plus_full_pm,7,0.35,0.5013698630136987,0.6403162055335968,0.47105626613823337,324
btc_plus_full_pm,7,0.4,0.5013698630136987,0.5747663551401869,0.47105626613823337,246
btc_only,5,0.35,0.5013698630136987,0.662962962962963,0.4558638083228247,358
btc_only,5,0.65,0.5013698630136987,0.0,0.4558638083228247,0
btc_plus_small_pm,5,0.65,0.5013698630136987,0.010869565217391304,0.4523509277607638,2
btc_only,3,0.45,0.5013698630136987,0.5666666666666667,0.4422626553774095,238
btc_only,14,0.35,0.4986301369863014,0.6654478976234004,0.5078664504894014,365
btc_only,14,0.4,0.4986301369863014,0.6654478976234004,0.5078664504894014,365
btc_plus_small_pm,14,0.35,0.4986301369863014,0.6654478976234004,0.48642887167477333,365
btc_plus_small_pm,14,0.4,0.4986301369863014,0.6654478976234004,0.48642887167477333,365
btc_plus_full_pm,14,0.35,0.4986301369863014,0.6654478976234004,0.4816849816849817,365
btc_plus_full_pm,14,0.65,0.4986301369863014,0.041884816753926704,0.4816849816849817,9
btc_plus_full_pm,7,0.55,0.4986301369863014,0.2823529411764706,0.47105626613823337,73
btc_plus_small_pm,7,0.35,0.4986301369863014,0.6473988439306358,0.46724313937428696,337
btc_plus_full_pm,10,0.35,0.4986301369863014,0.6487523992322457,0.4628895694469465,339
btc_only,14,0.45,0.4958904109589041,0.6392156862745098,0.5078664504894014,328
btc_only,14,0.5,0.4958904109589041,0.5799086757990868,0.5078664504894014,256
btc_only,14,0.6,0.4958904109589041,0.1320754716981132,0.5078664504894014,30
btc_plus_full_pm,14,0.4,0.4958904109589041,0.6617647058823529,0.4816849816849817,362
btc_plus_full_pm,14,0.5,0.4958904109589041,0.5353535353535354,0.4816849816849817,214
btc_plus_small_pm,5,0.35,0.4958904109589041,0.6592592592592592,0.4523509277607638,358
btc_plus_small_pm,3,0.35,0.4958904109589041,0.6605166051660517,0.4357773374166817,360
btc_plus_full_pm,14,0.45,0.4931506849315068,0.6201232032854209,0.4816849816849817,305
btc_only,7,0.35,0.4931506849315068,0.6449136276391555,0.4736083588542605,339
btc_only,7,0.4,0.4931506849315068,0.6021505376344086,0.4736083588542605,283
btc_only,7,0.65,0.4931506849315068,0.0106951871657754,0.4736083588542605,5
btc_plus_small_pm,10,0.35,0.4931506849315068,0.6232179226069247,0.4652014652014652,309
btc_plus_full_pm,10,0.4,0.4931506849315068,0.605543710021322,0.4628895694469465,287
btc_only,5,0.6,0.4931506849315068,0.021164021164021163,0.4558638083228247,7
btc_plus_full_pm,5,0.35,0.4931506849315068,0.6476190476190476,0.4537020356692487,343
btc_plus_small_pm,14,0.45,0.4904109589041096,0.6294820717131474,0.48642887167477333,320
btc_only,10,0.5,0.4904109589041096,0.5279187817258884,0.47649072239236173,212
btc_only,10,0.6,0.4904109589041096,0.46551724137931033,0.47649072239236173,166
btc_only,10,0.65,0.4904109589041096,0.3716216216216216,0.47649072239236173,114
